Instructor,Rating,Would Take Again,Difficulty,Tags
Onat Gungor,5/5,100%,3,"Amazing lectures, Test heavy"
Shams Al Ajrawi,4.2/5,80%,2.3,"Amazing lectures, Beware of pop quizzes, Accessible outside class, Get ready to read, EXTRA CREDIT"
Alyssa Powell,5/5,100%,3,"Amazing lectures, Gives good feedback, Caring, Accessible outside class"
Victor Dan Vianu,3.1/5,56%,3.8,"Tough grader, Lecture heavy, Accessible outside class, Participation matters, Skip class? You won't pass."
Isaac Martin,4.3/5,100%,3,"Get ready to read, Amazing lectures, Respected, Inspirational, Tough grader"
Yixiao Sun,3.6/5,77%,3.4,"Caring, Clear grading criteria, Skip class? You won't pass., EXTRA CREDIT, Respected"
Chih-Ying Su,3.6/5,57%,3.9,"Lecture heavy, Tough grader, Amazing lectures, Skip class? You won't pass., EXTRA CREDIT"
Ryan F. Hechinger,2.9/5,60%,4.1,"Lecture heavy, Tough grader, Skip class? You won't pass., Get ready to read, Participation matters"
Dale Glaser,4/5,77%,3.5,"Caring, Clear grading criteria, Test heavy, Graded by few things, Inspirational"
Ryan Glenn,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Judy E. Kim,2.8/5,35%,4.1,"Tough grader, Lots of homework, So many papers, Get ready to read, Test heavy"
Gabriel Rebeiz,3.6/5,100%,4.4,"Inspirational, Hilarious, Respected"
Robert S. Pomeroy,3.2/5,49%,3.9,"Lots of homework, Test heavy, Lecture heavy, Tough grader, Skip class? You won't pass."
Jeffrey Clemens,3.5/5,N/A,4,"Would take again, Gives good feedback, Inspirational, Lots of homework, Caring"
Taylor Erin Gray,2/5,34%,3,"Get ready to read, Lots of homework, Lecture heavy, Test heavy, Graded by few things"
Lisa Marie McDonnell,3.2/5,48%,3.7,"Participation matters, Tough grader, Gives good feedback, Caring, Lots of homework"
Erika Michelle,5/5,100%,2,"Clear grading criteria, Caring, Participation matters, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
James Lee,4/5,100%,3.8,"Tough grader, Amazing lectures, Inspirational, Lots of homework, Hilarious"
Dmitri Zurita,4.4/5,100%,3.5,"Gives good feedback, Inspirational, Caring, Amazing lectures, Accessible outside class"
Pak Yeung Chan,3.9/5,64%,3.5,"Lecture heavy, Lots of homework, Test heavy, Clear grading criteria, Graded by few things"
Yitzhak Tor,4.4/5,100%,2.9,"Skip class? You won't pass., Amazing lectures, Inspirational, Accessible outside class, Caring"
Michael Galperin,4/5,100%,4,"Amazing lectures, Respected, Test heavy"
Christoforos Mamas,N/A,N/A,N/A,
Jose H.,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Lilly C Irani,3.9/5,80%,2.4,"Get ready to read, Caring, Tough grader, Amazing lectures, Clear grading criteria"
Mohammadkazem Taram,N/A,N/A,N/A,
Kathleen Ambrose Connelly,3.4/5,N/A,4.3,None
Claire Adida,4.2/5,82%,2.2,"Get ready to read, Amazing lectures, Caring, Respected, Participation matters"
Paul Pier-Carlo Gherini,4.3/5,100%,2.3,"Participation matters, Amazing lectures, Clear grading criteria, Caring, Graded by few things"
Leslie R Lewis,4.8/5,75%,2.6,"Inspirational, Hilarious, Would take again, Respected, Amazing lectures"
Yuan Emily Tang,3.7/5,75%,2.8,"Tough grader, Tests are tough, Amazing lectures, Clear grading criteria, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
David James Quarfoot,4.6/5,68%,4.8,"Lots of homework, Amazing lectures, Hilarious, Test heavy, Respected"
Alexander Leor Fattal,2.8/5,39%,4.2,"Get ready to read, Participation matters, Lots of homework, Beware of pop quizzes, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
May Elhussein Elsherif,2.5/5,100%,2.8,"Lecture heavy, Participation matters, Lots of homework, Get ready to read, EXTRA CREDIT"
Nicholas Spitzer,4.1/5,80%,4,"Tough grader, Skip class? You won't pass., Inspirational, Respected, Amazing lectures"
Nancy Ann,4.1/5,80%,2.8,"Inspirational, Skip class? You won't pass., Amazing lectures, Would take again, EXTRA CREDIT"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ming Xiao,5/5,100%,2.9,"Accessible outside class, Amazing lectures, Respected, EXTRA CREDIT, Gives good feedback"
Aleck Karis,3.4/5,34%,3,"Participation matters, Tough grader, Skip class? You won't pass., Group projects, Lots of homework"
Yingxiao Wang,N/A,N/A,N/A,
Ivan K Schuller,2.5/5,50%,3.2,"Get ready to read, Tough grader, Test heavy"
Jada Simone Wiggleton-Little,2.4/5,45%,4.1,"Tough grader, Caring, Test heavy, Tests are tough, Accessible outside class"
Matthew T. Wiersma,3.3/5,67%,4,"Clear grading criteria, Lots of homework, Test heavy, Accessible outside class, Get ready to read"
Xiaolong Wang,4/5,100%,2.4,"Caring, Respected, Accessible outside class"
Scott Warren,3.6/5,66%,4.3,"Test heavy, Lots of homework, Tough grader, Accessible outside class, Respected"
Scott R Klemmer,1.8/5,12%,3,"Tough grader, Lots of homework, Group projects, Beware of pop quizzes, Lecture heavy"
Cathleen L. Moran,2.4/5,33%,3.7,"Tough grader, Participation matters, Get ready to read, Lots of homework, Skip class? You won't pass."
Mayank Chadha,N/A,N/A,N/A,
Xinyi He,N/A,N/A,N/A,
Edith Loraine Freni,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Edith Freni,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Edith Loraine,4.5/5,100%,3.9,"Caring, Graded by few things, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Rachel Fine,5/5,93%,2.8,"Get ready to read, Amazing lectures, So many papers, Graded by few things, Participation matters"
Dinesh Bharadia,1.8/5,17%,4.3,"Tough grader, Test heavy"
Mary A McKay,1.8/5,12%,3.8,"Get ready to read, Tough grader, Skip class? You won't pass., Lots of homework, Participation matters"
Jor-el Thomas Caparas Briones,5/5,100%,3,"Amazing lectures, EXTRA CREDIT, Hilarious, Participation matters, Gives good feedback"
Tongyan Lin,4.2/5,100%,4.4,"Caring, Respected, Accessible outside class, Get ready to read, Participation matters"
Lu Jeu Sham,2.7/5,N/A,3.8,None
Valentin I Shevchenko,4/5,N/A,2.9,None
George Rabeshi,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ava Hermine Porter,4/5,100%,3,Amazing lectures
Julia Fulton,5/5,93%,1.4,"Caring, Amazing lectures, Graded by few things, Inspirational, EXTRA CREDIT"
Jose Ignacio Fuste,4.7/5,100%,2.5,"Get ready to read, Amazing lectures, Gives good feedback, Group projects, Inspirational"
Kristine R Ehrich,3.8/5,59%,3.5,"Participation matters, Amazing lectures, Tough grader, Get ready to read, Group projects"
Stacey Marie Glasgow,2.7/5,34%,3,"Lots of homework, Lecture heavy, Test heavy, EXTRA CREDIT, Clear grading criteria"
Mohammad Miah,2.2/5,N/A,3.7,None
William Bales Albuquerque,3.8/5,100%,2.3,"Respected, Inspirational, Accessible outside class, Gives good feedback, Caring"
Jacobo Myerston Santana,N/A,N/A,N/A,
Joaquin Fabian,5/5,100%,2.9,"Amazing lectures, Lecture heavy, Clear grading criteria, Test heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Xinwei Ma,3.6/5,62%,3.1,"Lecture heavy, Caring, Accessible outside class, Tough grader, Test heavy"
Caroline Collins,2.8/5,N/A,3.5,None
Byung Chu Kang,5/5,100%,2,"Caring, Group projects, EXTRA CREDIT, Clear grading criteria, Get ready to read"
Amy Michelle Kennemore,4.8/5,100%,2.3,"Get ready to read, Caring, Group projects, Inspirational, EXTRA CREDIT"
On Amir,3.9/5,72%,3.5,"Skip class? You won't pass., Tough grader, Clear grading criteria, Respected, Lecture heavy"
Rachel Elizabeth Bristol,4.3/5,84%,3.4,"Get ready to read, EXTRA CREDIT, Respected, Accessible outside class, Amazing lectures"
Ching-I Chang,4.1/5,81%,3.4,"Get ready to read, Amazing lectures, Respected, Lots of homework, Inspirational"
Martha Diana Garcia,2.1/5,27%,3.4,"Tough grader, Graded by few things, Lecture heavy, So many papers, Caring"
Oliver Braun,4.8/5,100%,2,"EXTRA CREDIT, Caring, Graded by few things, Clear grading criteria, Test heavy"
Emily Drake,4.4/5,100%,2.7,"Gives good feedback, Would take again, Caring, Participation matters, Clear grading criteria"
Martin Tresguerres,5/5,100%,4,"Amazing lectures, Hilarious, Lecture heavy"
Shadi Ahmad Dayeh,4.9/5,100%,3.5,"Amazing lectures, Gives good feedback, Clear grading criteria, Tests? Not many, Inspirational"
Thomas Murphy,4.5/5,N/A,2,None
Benjamin Edward Russ,4/5,100%,2,"EXTRA CREDIT, Gives good feedback, Accessible outside class"
Zhisen Jiang Urgolites,4.4/5,75%,2.6,"Lecture heavy, Caring, Group projects, Participation matters, Clear grading criteria"
Gareth Hb Nellis,2.9/5,100%,4.2,"Get ready to read, Amazing lectures, Tough grader, Participation matters, Inspirational"
Ulrich K. Muller,3.2/5,100%,3.1,"Tough grader, Skip class? You won't pass., Tests are tough, Tests? Not many, Get ready to read"
Jerry Yang,3.8/5,45%,4.6,"Tough grader, Lecture heavy, Graded by few things, Skip class? You won't pass., Test heavy"
Gloria Elizabeth Chacon,5/5,100%,3,"Amazing lectures, Caring, Get ready to read, Inspirational"
Siloh Radovsky,N/A,N/A,N/A,
Kevin Popovic,4.4/5,75%,3.2,"Inspirational, Tough grader, Would take again, Amazing lectures, Gives good feedback"
Prabhakar Bandaru,4.8/5,100%,2.9,"Amazing lectures, Would take again, Inspirational, Caring, Lecture heavy"
William Francis Styler,3.8/5,54%,3.5,"Group projects, Tough grader, Participation matters, Lecture heavy, Caring"
Shyue Ping Ong,4/5,100%,3,"Clear grading criteria, Lots of homework, Skip class? You won't pass., Gives good feedback, Tough grader"
Madison Marie Edwards,N/A,N/A,N/A,
Tucker S. McElroy,N/A,N/A,N/A,
Daniel Cole Metz,4.9/5,88%,1.9,"EXTRA CREDIT, Lecture heavy, Amazing lectures, Respected, Accessible outside class"
Amy Marie Cimini,4.5/5,100%,3,"Get ready to read, Amazing lectures, Gives good feedback, Inspirational, Lots of homework"
John Tat,4.6/5,100%,3.3,"EXTRA CREDIT, Respected, Participation matters, Clear grading criteria, Tough grader"
Mor Mia Minnes Kemp,3.8/5,91%,3.7,"Tough grader, Lots of homework, Respected, Amazing lectures, Caring"
Maria T. Caligagan,5/5,100%,1.5,"Gives good feedback, Caring, Skip class? You won't pass., Hilarious"
Gulcin Pekkurnaz Banghart,3.8/5,88%,3,"Lecture heavy, Caring, EXTRA CREDIT, Gives good feedback, Tough grader"
Dallawrence Edward Dean,4.5/5,91%,1.9,"Get ready to read, Beware of pop quizzes, Respected, Inspirational, Caring"
Samuel R Buss,4.2/5,N/A,3,"Amazing lectures, Hilarious, Tough grader, Participation matters, Would take again"
Johanna Lee Peterson,4.5/5,100%,2,"Inspirational, Respected, Group projects, Gives good feedback"
Randolph Y. Hampton,4.4/5,72%,3.4,"Hilarious, Caring, Respected, Amazing lectures, Inspirational"
Petr Krysl,3.5/5,N/A,3.5,"Tough grader, Skip class? You won't pass., Would take again, So many papers, Caring"
Sherry Lee,3/5,N/A,4,"Tough grader, Get ready to read, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Amanda Lee Albaniel Solomon,4/5,64%,2.6,"EXTRA CREDIT, Lecture heavy, Amazing lectures, Participation matters, Clear grading criteria"
Qin-Hong Anderson,5/5,100%,3,"Caring, Participation matters, Gives good feedback, Accessible outside class, Amazing lectures"
Roy Perez,5/5,100%,2,"Inspirational, Caring"
Camila Gavin,5/5,93%,3,"Caring, Hilarious, Lecture heavy, Amazing lectures, Respected"
Shachar Lovett,3.5/5,80%,3.2,"Tough grader, Participation matters, EXTRA CREDIT, Gives good feedback, Lots of homework"
Jack Gilbert,3.6/5,69%,2,"Get ready to read, Clear grading criteria, Tough grader, Gives good feedback, Graded by few things"
Mingu Kang,3.3/5,67%,4,"Skip class? You won't pass., Test heavy, Group projects, Clear grading criteria, Caring"
Andrew J. Lucas,5/5,N/A,4,None
Mariah J,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Christian Sleek Klevdal,2.7/5,50%,4,"Tough grader, Gives good feedback, Amazing lectures, Clear grading criteria, Lots of homework"
Daniel Ryan,4.1/5,100%,2.3,"Clear grading criteria, Would take again, Group projects, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Takae Ohnishi,5/5,100%,2,"Caring, Participation matters, Clear grading criteria, Gives good feedback, Respected"
Alison Meyer,5/5,100%,2.4,"Participation matters, Group projects, Clear grading criteria, Get ready to read, Inspirational"
Jeremy Richard,4/5,72%,2.2,"Lecture heavy, Graded by few things, Skip class? You won't pass., Amazing lectures, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Patrick W. Anderson,3.9/5,60%,2.5,"Skip class? You won't pass., Amazing lectures, Get ready to read, Inspirational, Beware of pop quizzes"
Sean Ingham,3.9/5,73%,3.6,"Get ready to read, Skip class? You won't pass., Participation matters, Gives good feedback, Beware of pop quizzes"
Samuel David,2.3/5,N/A,3,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jaclyn Jemc,4/5,100%,3,"Get ready to read, Gives good feedback, Graded by few things"
Sina Moghadas Khorasani,5/5,100%,2.8,"Group projects, Amazing lectures, Participation matters, Gives good feedback, Hilarious"
He Jiang,2.7/5,42%,3.5,"Tough grader, Lots of homework, Lecture heavy, Get ready to read, Gives good feedback"
Amy Kiger,3.5/5,36%,3.5,"Get ready to read, Lecture heavy, Tough grader, Test heavy, Participation matters"
Paul H. Siegel,4/5,80%,4,"Tough grader, Lots of homework, Amazing lectures, Test heavy, Get ready to read"
Leroy Joey Arciniega,3/5,100%,3,"Get ready to read, Gives good feedback"
David M Kamensky,2/5,50%,4,"Get ready to read, Gives good feedback"
Eric Frederick,4.9/5,100%,1.8,"Gives good feedback, Caring, Inspirational, Amazing lectures, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Xuemei Huang,2.5/5,100%,4.4,"Lecture heavy, Test heavy, Tough grader, Get ready to read, Lots of homework"
Bradley Thomas Voytek,4.5/5,92%,1.9,"Amazing lectures, Inspirational, Caring, Respected, Gives good feedback"
William Michael McEneaney,3.1/5,67%,3,"Lots of homework, Tough grader, Lecture heavy, Clear grading criteria, So many papers"
Chaohsien Li,N/A,N/A,N/A,
Terrence August,4/5,N/A,4.3,None
Sadie Weinberg,5/5,100%,2.4,"Hilarious, Participation matters, Caring, Amazing lectures, Inspirational"
Lihini Aluwihare,3/5,100%,2,None
James Edward Cooke,5/5,64%,5,"Tough grader, Test heavy, Hilarious, Amazing lectures, Lecture heavy"
Frederick Manners,3.6/5,72%,4,"Hilarious, Test heavy, Caring, Skip class? You won't pass., Clear grading criteria"
William Raymond,2.1/5,50%,4,"Tough grader, Get ready to read, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Brian R Cross,3.6/5,56%,3,"Participation matters, Inspirational, Tough grader, Get ready to read, Gives good feedback"
Daniel Mertz Kane,3.8/5,64%,4.6,"Lots of homework, Tough grader, Amazing lectures, Test heavy, Inspirational"
Amy Fox,4.5/5,N/A,4,None
Vidya Nadkarni,3.9/5,64%,3.9,"Tough grader, Get ready to read, Inspirational, Lecture heavy, Participation matters"
Wouter Jan Rappel,4/5,72%,3.3,"Test heavy, Clear grading criteria, Respected, Tough grader, Amazing lectures"
Heather Marie Daly,2.5/5,N/A,2.5,"Participation matters, EXTRA CREDIT, Caring"
Ying Zhu,4.9/5,90%,2.4,"Amazing lectures, Participation matters, Caring, Inspirational, Skip class? You won't pass."
Mihir Bellare,2.1/5,25%,4.4,"Tough grader, Skip class? You won't pass., Lots of homework, Lecture heavy"
Dale E Squires,3.8/5,67%,2.5,"Get ready to read, Clear grading criteria, Would take again, Gives good feedback, Inspirational"
Tristan Joseph,4.5/5,91%,3.3,"Amazing lectures, Respected, Caring, Clear grading criteria, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Cindy Gustafson-Brown,4/5,62%,4.5,"Get ready to read, Tough grader, Amazing lectures, Lots of homework, Participation matters"
Luz Marina Chung,4.8/5,90%,2.9,"Inspirational, Get ready to read, Amazing lectures, Gives good feedback, Caring"
David Andrew Jekel,4.9/5,100%,3.3,"Inspirational, Caring, Accessible outside class, Amazing lectures, Clear grading criteria"
Shlomo Dubnov,3.3/5,75%,2,"Group projects, Get ready to read, EXTRA CREDIT, Amazing lectures, Clear grading criteria"
Jeffrey Howard Omens,4.7/5,100%,3.3,"Accessible outside class, Skip class? You won't pass., EXTRA CREDIT, Clear grading criteria, Gives good feedback"
Michael Provence,4.5/5,100%,3.5,"Get ready to read, Inspirational, Hilarious, Respected, Lecture heavy"
Nicole L Miller,1/5,0%,3.7,"Participation matters, Graded by few things, Tough grader, Get ready to read"
Deniz Ilkbasaran,3/5,100%,4.2,"Get ready to read, Participation matters, Skip class? You won't pass., Amazing lectures, Inspirational"
Ivana Guarrasi,3.8/5,67%,3.4,"Get ready to read, Gives good feedback, Caring, Graded by few things"
Falko Kuester,1.9/5,75%,3.7,"Participation matters, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Quang Tran Bach,2.9/5,70%,4.5,"Lots of homework, Tough grader, Test heavy, Hilarious, Amazing lectures"
Zhuowen Tu,2.1/5,30%,3.3,"Lots of homework, Get ready to read, EXTRA CREDIT, Graded by few things, Test heavy"
Lei Liang,4/5,N/A,2,None
Jessica Erin D'Elena-Tweed,4.4/5,86%,2.9,"Amazing lectures, Gives good feedback, Lecture heavy, Inspirational, Lots of homework"
Jennifer Chiemi Ito,4.7/5,N/A,2,"Would take again, Hilarious, Caring, Respected"
Itay Budin,5/5,100%,3.1,"Amazing lectures, Clear grading criteria, Inspirational, Accessible outside class, Respected"
Pasquale Verdicchio,3.8/5,100%,2.5,"Get ready to read, Gives good feedback, Respected"
Andrew Zucker,2.3/5,30%,4.3,"Test heavy, Tough grader, Lots of homework, Accessible outside class, Get ready to read"
Maritza Sanchez,2.1/5,26%,4.3,"Tough grader, Skip class? You won't pass., Get ready to read, Beware of pop quizzes, Graded by few things"
Aaron Rosengren,1.6/5,25%,4,"Lecture heavy, Graded by few things, Beware of pop quizzes, Test heavy, Tough grader"
Amie Campos,5/5,N/A,5,None
Shaoai Zhang,3/5,29%,4,"Tough grader, Graded by few things, Get ready to read, Respected, Clear grading criteria"
Andrew Douglas Mc Culloch,5/5,100%,1.5,"Clear grading criteria, Caring, Lecture heavy"
Aftab Jassal,4.2/5,N/A,1,"Participation matters, Skip class? You won't pass., Tests? Not many, Would take again, Gives good feedback"
Gregory Seiichi Pom Gushiken,4.9/5,100%,3,"Amazing lectures, Group projects, Get ready to read, Participation matters, Skip class? You won't pass."
Harold E Pashler,1.8/5,0%,3.3,"Group projects, Would take again, Caring, Respected, Test heavy"
Wenjia Li,5/5,96%,2.9,"Amazing lectures, Group projects, Respected, Clear grading criteria, Inspirational"
Erik Gartzke,3.2/5,54%,2.2,"Get ready to read, Clear grading criteria, Participation matters, Respected, Graded by few things"
Douglas A. Nitz,4.2/5,72%,2.8,"Lecture heavy, Test heavy, Graded by few things, Skip class? You won't pass., EXTRA CREDIT"
Jennifer Lee Havens,1.8/5,80%,4.3,"Tough grader, Tests are tough, Group projects, Lecture heavy, Get ready to read"
Patrick William Pannuto,1/5,N/A,4,Participation matters
Simeon S Man,4.8/5,100%,2.3,"Caring, EXTRA CREDIT, Get ready to read, Lecture heavy, Accessible outside class"
Andrew C Whitworth-Smith,4.5/5,100%,3,"Gives good feedback, Participation matters, Clear grading criteria, Get ready to read, Skip class? You won't pass."
Edward Okeefe Kihn,3/5,40%,4,"Lots of homework, Get ready to read, Lecture heavy, Tough grader, Participation matters"
Joel P Conte,4.2/5,100%,3.8,"Tough grader, Lots of homework, Get ready to read, Participation matters, Skip class? You won't pass."
Maria Carreras,4.4/5,75%,3.8,"Get ready to read, Lots of homework, Participation matters, Lecture heavy, Gives good feedback"
Xiaochuan Tian,4/5,100%,3.5,"Lots of homework, Skip class? You won't pass., Test heavy"
Mor Shilon,5/5,100%,3,"Gives good feedback, Graded by few things, Accessible outside class"
Terrence J Sejnowski,4.8/5,98%,2.5,"Inspirational, Amazing lectures, Respected, Would take again, Caring"
James W Golden,3.6/5,50%,2.8,"Amazing lectures, Clear grading criteria, Tests? Not many, Hilarious, Lecture heavy"
Giacomo Rondina,4.1/5,84%,4,"Lecture heavy, Caring, Test heavy, Clear grading criteria, Tough grader"
Jade Yukana Power,4.3/5,N/A,2,None
Hasan Kayali,4.5/5,72%,2.7,"Lecture heavy, Skip class? You won't pass., Respected, Tough grader, Get ready to read"
Todd Salovey,4.8/5,92%,1.5,"Inspirational, Caring, Respected, EXTRA CREDIT, Group projects"
Robert L. Brill,4.4/5,43%,3.4,"Lecture heavy, Graded by few things, Skip class? You won't pass., Participation matters, Tests? Not many"
Kiran S. Kedlaya,3.3/5,75%,3.8,"Lots of homework, Caring, Respected, Amazing lectures, Gives good feedback"
Ranjit Jhala,3.5/5,0%,3.4,"Participation matters, Hilarious"
Omar Akbari,2.9/5,40%,4.1,"Graded by few things, Test heavy, Lecture heavy, Inspirational, Respected"
William G. Griswold,1.9/5,40%,3.9,"Group projects, Lots of homework, Get ready to read, Participation matters, Tough grader"
Andres Gutierrez Martinez,4.3/5,78%,2.7,"Clear grading criteria, Lecture heavy, Amazing lectures, Caring, Respected"
Nicholas G Gravish,N/A,N/A,N/A,
Haijun Xia,3.4/5,100%,2.9,"Get ready to read, So many papers, Participation matters, Clear grading criteria, Lots of homework"
Brianna D Rigg,4.6/5,100%,2,"Participation matters, Skip class? You won't pass., Amazing lectures, Tests? Not many, Gives good feedback"
Yang Zheng,5/5,100%,4,"Group projects, Amazing lectures, Caring"
Giorgia Pirino,2.2/5,44%,3.4,"Tough grader, Lecture heavy, Group projects, Lots of homework, Participation matters"
Robert B Horwitz,3.9/5,N/A,3.5,"Tough grader, Amazing lectures, Would take again"
Samuel Jude Gaffney,N/A,N/A,N/A,
Hye Cho,1.7/5,100%,4.7,"Participation matters, Group projects, Caring, Lecture heavy"
Richard K.,3.8/5,50%,2.5,"Tough grader, Get ready to read, Amazing lectures, Would take again, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Matthew Paul Flagg,5/5,100%,2.9,"Caring, Amazing lectures, Participation matters, Clear grading criteria, Accessible outside class"
Graham Timmins,4.6/5,N/A,3.3,"Get ready to read, Amazing lectures, Would take again, Inspirational, So many papers"
Mark H,3.7/5,56%,3.9,"Lecture heavy, Caring, EXTRA CREDIT, Clear grading criteria, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Cheryl Peach,4.9/5,86%,1.5,"Caring, Amazing lectures, Beware of pop quizzes, Clear grading criteria, Would take again"
David Pedersen,3.3/5,100%,2,"Participation matters, Amazing lectures, Tests? Not many, So many papers, Caring"
Rebecca Louise Lloyd-Jones,4.2/5,88%,2.9,"Gives good feedback, Caring, Participation matters, Clear grading criteria, Respected"
Carlos F. Coimbra,2.8/5,N/A,2.5,Get ready to read
Jack Silberman,4.3/5,100%,3.8,"Tough grader, EXTRA CREDIT, Gives good feedback, Inspirational, Lots of homework"
Min Ju Kim,N/A,N/A,N/A,
Ryan Edward Zroka,4.6/5,N/A,1.7,"Tests? Not many, Would take again, Hilarious"
Christopher Daniel Gibson,2.8/5,37%,3.4,"Get ready to read, Lecture heavy, Accessible outside class, Respected, Graded by few things"
Szu-Chin Chih,N/A,N/A,N/A,
Kaustuv Roy,4.4/5,100%,2.5,"Caring, Tough grader, Get ready to read, Tests are tough, Amazing lectures"
Jon Anthony Bialecki,4.1/5,100%,2.7,"Hilarious, Caring, Amazing lectures, Lecture heavy"
Niloofar Akhavan,3.7/5,100%,3.2,"Tough grader, Lecture heavy, Group projects, Gives good feedback, Participation matters"
Melissa Ann,1.8/5,100%,4.2,"Get ready to read, Inspirational, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Thandeka K Chapman,5/5,100%,2,"Get ready to read, Participation matters, Hilarious"
Maria Loren Gomez Mostajo,3/5,50%,3.5,"Lots of homework, Tough grader, Participation matters, Amazing lectures, Gives good feedback"
Lily Kim Hoang,5/5,100%,2,"Get ready to read, Participation matters, Gives good feedback"
Arun Kumar Kumar,5/5,100%,3.1,"Amazing lectures, Respected, Get ready to read, Gives good feedback, Inspirational"
Diana Rennison,4/5,100%,3.5,"Caring, EXTRA CREDIT, Gives good feedback, Lecture heavy, Test heavy"
Lalit Deshmukh,2.9/5,48%,3.9,"Test heavy, Skip class? You won't pass., Lecture heavy, Tough grader, Graded by few things"
Elizabeth A Simon,4.3/5,100%,2.9,"Get ready to read, Lots of homework, Accessible outside class"
Kaspar Wuthrich,4.1/5,100%,3.4,"Clear grading criteria, Gives good feedback, Accessible outside class, Amazing lectures, Tough grader"
Deirdre Colleen,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Branka Hrvoj Mihic,3.9/5,74%,3.4,"Get ready to read, Lecture heavy, Graded by few things, Gives good feedback, Caring"
Joel Okrent,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Keiko K. Nomura,4.4/5,60%,3.6,"Tough grader, Lots of homework, Respected, Caring, Amazing lectures"
Thomas Andrew Babin,4.4/5,100%,1.9,"Clear grading criteria, Amazing lectures, Hilarious, Respected, Inspirational"
Mark Ronald Anderson,4.4/5,100%,2.6,"Caring, Amazing lectures, Group projects, Tests? Not many, Lots of homework"
Mohsen Aliabadi Sr.,5/5,100%,2.8,"Amazing lectures, Clear grading criteria, EXTRA CREDIT, Respected, Caring"
Jiying Jiang,3.9/5,74%,3.6,"Lots of homework, EXTRA CREDIT, Clear grading criteria, Group projects, Caring"
Shoghig Maggie,4/5,75%,3.5,"Get ready to read, EXTRA CREDIT, Gives good feedback, Caring, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Barry J Grant,3.6/5,100%,3.6,"Lots of homework, Caring, Accessible outside class, Tough grader, Participation matters"
Thomas J. Csordas,4.1/5,100%,2.8,"Get ready to read, Participation matters, Skip class? You won't pass., Lots of homework, Caring"
Nathan A Romero,4.3/5,100%,4.4,"Caring, Accessible outside class, Tough grader, Participation matters, EXTRA CREDIT"
Nathan E,4.3/5,100%,4.4,"Caring, Accessible outside class, Tough grader, Participation matters, EXTRA CREDIT"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Barbara Ann Bliss,4.8/5,75%,3.4,"Test heavy, Graded by few things, Respected, EXTRA CREDIT, Amazing lectures"
Mark Dresser,2.7/5,20%,3.1,"So many papers, Lots of homework, Get ready to read, Skip class? You won't pass., Caring"
Jessica Lynn Graham,2/5,100%,3.3,"Clear grading criteria, Test heavy, Graded by few things"
Robert Henry August,4.8/5,81%,2.4,"Amazing lectures, Inspirational, Caring, Respected, Participation matters"
Elizabeth Dorsey,1/5,0%,1,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
James Edmund Lynch,2.2/5,0%,3.2,"Graded by few things, Lecture heavy, Test heavy, Skip class? You won't pass., EXTRA CREDIT"
Andrea Mendoza,5/5,100%,1,"Clear grading criteria, Respected, Accessible outside class"
Pratyush Sarkar,1/5,N/A,4,"Tough grader, Graded by few things"
Bryan Rill,4.1/5,N/A,2.7,None
